ArtistName,SourceId,ExpectedMbid,ChosenMbid,Decision,Correct,Confidence,Margin,ApiCalls,ElapsedMs,Error
!!!,f8f5dad971be4a709892f741debaea14,f26c72d3-e52c-467b-b651-679c73d8e1a7,f26c72d3-e52c-467b-b651-679c73d8e1a7,needs_review,True,0.9707,3.5000,4,386,
#1 Dads,b7d59c6ee97a43ef94514576ee261c4f,7aaf9000-eceb-4290-b38d-8cb4242c7730,7aaf9000-eceb-4290-b38d-8cb4242c7730,needs_review,True,0.5000,0.0000,25,2389,
'Til Tuesday,c33fa242a9cb42b3b206b35c116e2920,8cf8869d-e066-4c94-b734-fe05749badf0,8cf8869d-e066-4c94-b734-fe05749badf0,needs_review,True,0.9707,3.5000,3,373,
(US 2) David Siegel,af574e2f818443129ca0c64c6e04634d,15b0fc63-c1fa-4b53-8eaa-8416d0de1d78,15b0fc63-c1fa-4b53-8eaa-8416d0de1d78,needs_review,True,0.9707,3.5000,4,441,
*NSYNC,9533f9eb8c9e44968a4d1870df1e2c33,603ba565-3967-4be1-931e-9cb945394e86,603ba565-3967-4be1-931e-9cb945394e86,needs_review,True,0.9707,3.5000,3,330,
070 Shake,e9d6f4c30b304dc2ad4a1bfbb82a76d7,741dbc8e-1cd5-4a66-b2b8-43bbad87ae12,741dbc8e-1cd5-4a66-b2b8-43bbad87ae12,needs_review,True,0.9707,3.5000,3,408,
1 Giant Leap,967452bb52e24d4ba6083508ae180f2a,3eff5a3a-b011-4da3-81fe-bc8d4a11b28c,3eff5a3a-b011-4da3-81fe-bc8d4a11b28c,needs_review,True,0.8581,1.8000,4,411,
"10,000 Maniacs",7ce085db62b34a61b76f3fb91af58fd1,b9a06530-1241-4162-836f-7b8e79deaa58,b9a06530-1241-4162-836f-7b8e79deaa58,needs_review,True,0.8581,1.8000,4,430,
10cc,601d314652464f0b9833e82ed960fd05,f37c537b-3557-4031-bfd6-ab63ced32854,f37c537b-3557-4031-bfd6-ab63ced32854,needs_review,True,0.8581,1.8000,4,454,
112,88eebe55b6454286adb0d2f6feb18058,9132d515-dc0e-4494-85ae-20f06eed14f9,9132d515-dc0e-4494-85ae-20f06eed14f9,needs_review,True,0.6225,0.5000,15,1926,
1200 Techniques,faaf312756ad41b8a7c48aade36d4b14,e89b06b0-310d-4448-9376-e2ec56e17145,e89b06b0-310d-4448-9376-e2ec56e17145,needs_review,True,0.9707,3.5000,3,262,
13th Floor Elevators,207e5ae04ede46ee83d155112c8e30ad,1964494f-9f1a-41c1-b054-80ef3b95025c,1964494f-9f1a-41c1-b054-80ef3b95025c,needs_review,True,0.9707,3.5000,3,339,
1910 Fruitgum Co.,16eedd9ecbfa46f2b0f16f0663f60bf8,69d0a377-e815-43a7-a8bb-f74ca4ead721,69d0a377-e815-43a7-a8bb-f74ca4ead721,needs_review,True,0.8581,1.8000,4,341,
1919,73dfe94da77045689ca1d032849bca45,dca0d1d9-e9f6-439e-8567-96da7ada6611,dca0d1d9-e9f6-439e-8567-96da7ada6611,needs_review,True,0.8581,1.8000,5,455,
1979,5edac270312e47f8962cc1891414c8d5,8e74c16f-7370-41dd-bcb9-dbabe5499770,8e74c16f-7370-41dd-bcb9-dbabe5499770,needs_review,True,0.5000,0.0000,11,933,
1990s,dfc9449a20d74bc2b593274fe4336210,007dbf51-6ee0-4038-8e90-94a954e25ca3,007dbf51-6ee0-4038-8e90-94a954e25ca3,needs_review,True,0.9707,3.5000,3,256,
2 Bad Mice,0bfb68890b944f0281d3276719f09fff,ac3a4610-ddc0-4b65-96dd-d7f9faf85eb5,ac3a4610-ddc0-4b65-96dd-d7f9faf85eb5,needs_review,True,0.8581,1.8000,4,367,
2 Bigg,e6636dc805d74ae9ba22a1555cc0b16c,4dd7c4f8-af46-41c1-bb43-340bca3e3bfe,4dd7c4f8-af46-41c1-bb43-340bca3e3bfe,needs_review,True,0.5000,0.0000,17,1526,
2 Brothers,fcfbd0eeaaac4b989f5fbcec15fa48c2,fe005358-c717-4ef7-97f1-3d646b65a43d,ee702d15-3b26-41c6-b821-8b298ff505bc,needs_review,False,0.9707,3.5000,8,788,
2 Chainz,566c578273694a8f889afe9b2839db91,dff0d392-4cd5-4052-9fbb-f485df3891e5,dff0d392-4cd5-4052-9fbb-f485df3891e5,needs_review,True,0.8581,1.8000,4,479,
2 Funky 2,c7c4e2034b42491eaf69032f2124124c,33a1ec2f-79fa-4217-a804-42ed641053c2,33a1ec2f-79fa-4217-a804-42ed641053c2,needs_review,True,0.5000,0.0000,15,1027,
2 in a Room,630294781b7f481e8ab3ab8fef9d6f35,98a62678-8db1-4bd5-add8-f24b198cdba8,98a62678-8db1-4bd5-add8-f24b198cdba8,needs_review,True,0.9707,3.5000,3,330,
2 Live Crew,5578ea17f42e45a19925829308a5941b,5cab4a1f-9797-42eb-9346-f5f375262a4a,5cab4a1f-9797-42eb-9346-f5f375262a4a,needs_review,True,0.8581,1.8000,4,374,
